caseid,task,user,end_timestamp,start_timestamp,Activity,Resource,@@startevent_concept:name,@@startevent_org:resource,@@startevent_Activity,@@startevent_Resource,@@duration
Case10,Turning & Milling,ID3846,2012-01-22 14:13:00.000000,2012-01-22 14:00:00.000000,Turning & Milling,ID3846,Turning & Milling,ID3846,Turning & Milling,ID3846,780.0
Case10,Turning & Milling,ID3846,2012-01-23 00:47:00.000000,2012-01-22 16:02:00.000000,Turning & Milling,ID3846,Turning & Milling,ID3846,Turning & Milling,ID3846,31500.0
Case10,Turning Q.C.,ID4618,2012-01-23 17:26:00.000000,2012-01-23 14:54:00.000000,Turning Q.C.,ID4618,Turning Q.C.,ID4618,Turning Q.C.,ID4618,9120.0
Case10,Laser Marking,ID4794,2012-01-25 17:57:00.000000,2012-01-25 16:31:00.000000,Laser Marking,ID4794,Laser Marking,ID4794,Laser Marking,ID4794,5160.0
Case10,Laser Marking,ID4882,2012-01-25 19:54:00.000000,2012-01-25 18:00:00.000000,Laser Marking,ID4882,Laser Marking,ID4882,Laser Marking,ID4882,6840.0
Case10,Laser Marking,ID4882,2012-01-25 21:09:00.000000,2012-01-25 20:22:00.000000,Laser Marking,ID4882,Laser Marking,ID4882,Laser Marking,ID4882,2820.0
Case10,Flat Grinding,ID0998,2012-01-27 20:00:00.000000,2012-01-27 17:30:00.000000,Flat Grinding,ID0998,Flat Grinding,ID0998,Flat Grinding,ID0998,9000.0
Case10,Flat Grinding,ID0998,2012-01-29 22:06:00.000000,2012-01-29 15:09:00.000000,Flat Grinding,ID0998,Flat Grinding,ID0998,Flat Grinding,ID0998,25020.0
Case10,Flat Grinding,ID0998,2012-01-30 23:59:00.000000,2012-01-30 22:19:00.000000,Flat Grinding,ID0998,Flat Grinding,ID0998,Flat Grinding,ID0998,6000.0
Case10,Final Inspection Q.C.,ID4618,2012-02-02 21:16:00.000000,2012-02-02 19:38:00.000000,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,5880.0
Case10,Packing,ID4820,2012-02-03 08:00:00.000000,2012-02-03 07:00:00.000000,Packing,ID4820,Packing,ID4820,Packing,ID4820,3600.0
Case10,End,End,2012-02-03 08:00:00.000001,2012-02-03 08:00:00.000001,,,,,,,
Case100,Start,Start,2012-02-21 00:08:59.999999,2012-02-21 00:08:59.999999,,,,,,,
Case100,Turning & Milling,ID4219,2012-02-21 00:57:00.000000,2012-02-21 00:09:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,2880.0
Case100,Turning & Milling,ID4529,2012-02-21 09:57:00.000000,2012-02-21 05:57:00.000000,Turning & Milling,ID4529,Turning & Milling,ID4529,Turning & Milling,ID4529,14400.0
Case100,Turning & Milling,ID4219,2012-02-21 18:03:00.000000,2012-02-21 13:45:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,15480.0
Case100,Turning & Milling,ID4219,2012-02-21 19:08:00.000000,2012-02-21 18:04:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,3840.0
Case100,Turning & Milling Q.C.,ID4618,2012-02-22 22:10:00.000000,2012-02-22 21:48:00.000000,Turning & Milling Q.C.,ID4618,Turning & Milling Q.C.,ID4618,Turning & Milling Q.C.,ID4618,1320.0
Case100,Laser Marking,ID0998,2012-03-11 18:06:00.000000,2012-03-11 18:05:00.000000,Laser Marking,ID0998,Laser Marking,ID0998,Laser Marking,ID0998,60.0
Case100,Flat Grinding,ID0998,2012-03-11 19:45:00.000000,2012-03-11 19:23:00.000000,Flat Grinding,ID0998,Flat Grinding,ID0998,Flat Grinding,ID0998,1320.0
Case100,Lapping,ID4882,2012-03-11 20:18:00.000000,2012-03-11 19:46:00.000000,Lapping,ID4882,Lapping,ID4882,Lapping,ID4882,1920.0
Case100,Round Grinding,ID4445,2012-03-13 17:41:00.000000,2012-03-13 17:34:00.000000,Round Grinding,ID4445,Round Grinding,ID4445,Round Grinding,ID4445,420.0
Case100,Round Grinding,ID4445,2012-03-13 22:12:00.000000,2012-03-13 17:41:00.000000,Round Grinding,ID4445,Round Grinding,ID4445,Round Grinding,ID4445,16260.0
Case100,Grinding Rework,ID4872,2012-03-16 19:40:00.000000,2012-03-16 18:30:00.000000,Grinding Rework,ID4872,Grinding Rework,ID4872,Grinding Rework,ID4872,4200.0
Case100,Final Inspection Q.C.,ID4618,2012-03-19 21:06:00.000000,2012-03-19 18:21:00.000000,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,9900.0
Case100,Packing,ID4820,2012-03-21 08:00:00.000000,2012-03-21 07:00:00.000000,Packing,ID4820,Packing,ID4820,Packing,ID4820,3600.0
Case100,Final Inspection Q.C.,ID4618,2012-03-21 14:03:00.000000,2012-03-21 14:02:00.000000,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,60.0
Case100,End,End,2012-03-21 14:03:00.000001,2012-03-21 14:03:00.000001,,,,,,,
Case101,Start,Start,2012-03-14 01:46:59.999999,2012-03-14 01:46:59.999999,,,,,,,
Case101,Setup,ID4219,2012-03-14 03:03:00.000000,2012-03-14 01:47:00.000000,Setup,ID4219,Setup,ID4219,Setup,ID4219,4560.0
Case101,Turning & Milling,ID4219,2012-03-14 06:03:00.000000,2012-03-14 03:38:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,8700.0
Case101,Turning & Milling,ID4219,2012-03-14 06:49:00.000000,2012-03-14 06:04:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,2700.0
Case101,Turning & Milling,ID4219,2012-03-14 08:06:00.000000,2012-03-14 06:50:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,4560.0
Case101,Turning & Milling,ID4794,2012-03-14 13:28:00.000000,2012-03-14 08:06:00.000000,Turning & Milling,ID4794,Turning & Milling,ID4794,Turning & Milling,ID4794,19320.0
Case101,Turning & Milling,ID0997,2012-03-14 14:48:00.000000,2012-03-14 14:02:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,2760.0
Case101,Turning & Milling,ID0997,2012-03-14 18:10:00.000000,2012-03-14 14:49:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,12060.0
Case101,Turning & Milling,ID0997,2012-03-14 20:30:00.000000,2012-03-14 18:11:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,8340.0
Case101,Turning & Milling Q.C.,ID4618,2012-03-14 21:48:00.000000,2012-03-14 20:33:00.000000,Turning & Milling Q.C.,ID4618,Turning & Milling Q.C.,ID4618,Turning & Milling Q.C.,ID4618,4500.0
Case101,Flat Grinding,ID0998,2012-03-15 17:55:00.000000,2012-03-15 16:55:00.000000,Flat Grinding,ID0998,Flat Grinding,ID0998,Flat Grinding,ID0998,3600.0
Case101,Lapping,ID0998,2012-03-23 19:40:00.000000,2012-03-23 18:00:00.000000,Lapping,ID0998,Lapping,ID0998,Lapping,ID0998,6000.0
Case101,Round Grinding,ID4528,2012-03-25 07:45:00.000000,2012-03-25 06:15:00.000000,Round Grinding,ID4528,Round Grinding,ID4528,Round Grinding,ID4528,5400.0
Case101,Round Grinding,ID4528,2012-03-25 14:45:00.000000,2012-03-25 07:45:00.000000,Round Grinding,ID4528,Round Grinding,ID4528,Round Grinding,ID4528,25200.0
Case101,Final Inspection Q.C.,ID4618,2012-03-25 19:31:00.000000,2012-03-25 14:50:00.000000,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,16860.0
Case101,Lapping,ID0998,2012-03-25 19:00:00.000000,2012-03-25 18:00:00.000000,Lapping,ID0998,Lapping,ID0998,Lapping,ID0998,3600.0
Case101,Laser Marking,ID0998,2012-03-25 19:29:00.000000,2012-03-25 19:15:00.000000,Laser Marking,ID0998,Laser Marking,ID0998,Laser Marking,ID0998,840.0
Case101,Packing,ID4820,2012-03-26 09:00:00.000000,2012-03-26 08:00:00.000000,Packing,ID4820,Packing,ID4820,Packing,ID4820,3600.0
Case101,End,End,2012-03-26 09:00:00.000001,2012-03-26 09:00:00.000001,,,,,,,
Case102,Start,Start,2012-02-27 23:39:59.999999,2012-02-27 23:39:59.999999,,,,,,,
Case102,Turning & Milling,ID4219,2012-02-28 04:09:00.000000,2012-02-27 23:40:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,16140.0
Case102,Turning & Milling,ID4219,2012-02-28 08:23:00.000000,2012-02-28 04:46:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,13020.0
Case102,Turning & Milling,ID0997,2012-02-28 20:26:00.000000,2012-02-28 18:00:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,8760.0
Case102,Turning & Milling,ID0997,2012-02-28 23:12:00.000000,2012-02-28 21:20:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,6720.0
Case102,Turning & Milling Q.C.,ID4287,2012-02-28 22:25:00.000000,2012-02-28 21:35:00.000000,Turning & Milling Q.C.,ID4287,Turning & Milling Q.C.,ID4287,Turning & Milling Q.C.,ID4287,3000.0
Case102,Turning & Milling,ID0997,2012-02-29 00:56:00.000000,2012-02-28 23:12:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,6240.0
Case102,Turning & Milling,ID4219,2012-02-29 08:29:00.000000,2012-02-29 04:28:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,14460.0
Case102,Turning & Milling,ID4794,2012-02-29 11:31:00.000000,2012-02-29 08:30:00.000000,Turning & Milling,ID4794,Turning & Milling,ID4794,Turning & Milling,ID4794,10860.0
Case102,Turning & Milling,ID0997,2012-02-29 18:05:00.000000,2012-02-29 14:32:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,12780.0
Case102,Turning & Milling,ID0997,2012-02-29 23:00:00.000000,2012-02-29 18:05:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,17700.0
Case102,Turning & Milling Q.C.,ID4287,2012-02-29 23:00:00.000000,2012-02-29 22:00:00.000000,Turning & Milling Q.C.,ID4287,Turning & Milling Q.C.,ID4287,Turning & Milling Q.C.,ID4287,3600.0
Case102,Turning & Milling,ID0997,2012-03-01 00:20:00.000000,2012-02-29 23:00:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,4800.0
Case102,Turning & Milling Q.C.,ID4287,2012-02-29 23:36:00.000000,2012-02-29 23:04:00.000000,Turning & Milling Q.C.,ID4287,Turning & Milling Q.C.,ID4287,Turning & Milling Q.C.,ID4287,1920.0
Case102,Turning & Milling,ID0997,2012-03-01 00:48:00.000000,2012-03-01 00:19:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,1740.0
Case102,Turning & Milling,ID4219,2012-03-01 07:11:00.000000,2012-03-01 05:27:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,6240.0
Case102,Turning & Milling Q.C.,ID4287,2012-03-01 17:49:00.000000,2012-03-01 16:30:00.000000,Turning & Milling Q.C.,ID4287,Turning & Milling Q.C.,ID4287,Turning & Milling Q.C.,ID4287,4740.0
Case102,Turning & Milling Q.C.,ID4287,2012-03-06 08:15:00.000000,2012-03-06 07:00:00.000000,Turning & Milling Q.C.,ID4287,Turning & Milling Q.C.,ID4287,Turning & Milling Q.C.,ID4287,4500.0
Case102,Laser Marking,ID0998,2012-03-08 21:41:00.000000,2012-03-08 20:32:00.000000,Laser Marking,ID0998,Laser Marking,ID0998,Laser Marking,ID0998,4140.0
Case102,Lapping,ID4882,2012-03-09 08:15:00.000000,2012-03-09 07:00:00.000000,Lapping,ID4882,Lapping,ID4882,Lapping,ID4882,4500.0
Case102,Lapping,ID0998,2012-03-11 18:04:00.000000,2012-03-11 16:38:00.000000,Lapping,ID0998,Lapping,ID0998,Lapping,ID0998,5160.0
Case102,Round Grinding,ID4528,2012-03-12 03:00:00.000000,2012-03-12 02:25:00.000000,Round Grinding,ID4528,Round Grinding,ID4528,Round Grinding,ID4528,2100.0
Case102,Round Grinding,ID4528,2012-03-12 06:40:00.000000,2012-03-12 03:00:00.000000,Round Grinding,ID4528,Round Grinding,ID4528,Round Grinding,ID4528,13200.0
Case102,Round Grinding,ID4445,2012-03-12 15:04:00.000000,2012-03-12 14:03:00.000000,Round Grinding,ID4445,Round Grinding,ID4445,Round Grinding,ID4445,3660.0
Case102,Round Grinding,ID4287,2012-03-12 15:09:00.000000,2012-03-12 14:50:00.000000,Round Grinding,ID4287,Round Grinding,ID4445,Round Grinding,ID4445,1140.0
Case102,Round Grinding,ID4445,2012-03-12 15:09:00.000000,2012-03-12 15:02:00.000000,Round Grinding,ID4445,Round Grinding,ID4287,Round Grinding,ID4287,420.0
Case102,Round Grinding,ID4287,2012-03-12 17:57:00.000000,2012-03-12 15:10:00.000000,Round Grinding,ID4287,Round Grinding,ID4287,Round Grinding,ID4287,10020.0
Case102,Round Grinding,ID4445,2012-03-12 17:58:00.000000,2012-03-12 17:00:00.000000,Round Grinding,ID4445,Round Grinding,ID4445,Round Grinding,ID4445,3480.0
Case102,Final Inspection Q.C.,ID4287,2012-03-13 00:00:00.000000,2012-03-12 21:00:00.000000,Final Inspection Q.C.,ID4287,Final Inspection Q.C.,ID4287,Final Inspection Q.C.,ID4287,10800.0
Case102,Final Inspection Q.C.,ID4287,2012-03-13 15:06:00.000000,2012-03-13 15:00:00.000000,Final Inspection Q.C.,ID4287,Final Inspection Q.C.,ID4287,Final Inspection Q.C.,ID4287,360.0
Case102,Packing,ID4820,2012-03-14 08:00:00.000000,2012-03-14 07:00:00.000000,Packing,ID4820,Packing,ID4820,Packing,ID4820,3600.0
Case102,End,End,2012-03-14 08:00:00.000001,2012-03-14 08:00:00.000001,,,,,,,
Case103,Start,Start,2012-03-06 16:09:59.999999,2012-03-06 16:09:59.999999,,,,,,,
Case103,Turning & Milling,ID4219,2012-03-06 17:18:00.000000,2012-03-06 16:10:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,4080.0
Case103,Turning & Milling,ID0997,2012-03-08 13:51:00.000000,2012-03-08 11:19:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,9120.0
Case103,Turning & Milling,ID4219,2012-03-08 23:38:00.000000,2012-03-08 17:04:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,23640.0
Case103,Turning & Milling,ID0997,2012-03-09 11:35:00.000000,2012-03-09 03:24:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,29460.0
Case103,Turning & Milling,ID0997,2012-03-09 14:27:00.000000,2012-03-09 11:35:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,10320.0
Case103,Turning & Milling,ID4219,2012-03-09 17:27:00.000000,2012-03-09 14:32:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,10500.0
Case103,Turning & Milling Q.C.,ID4618,2012-03-09 17:38:00.000000,2012-03-09 14:32:00.000000,Turning & Milling Q.C.,ID4618,Turning & Milling Q.C.,ID4618,Turning & Milling Q.C.,ID4618,11160.0
Case103,Turning & Milling Q.C.,ID4618,2012-03-11 15:16:00.000000,2012-03-11 14:42:00.000000,Turning & Milling Q.C.,ID4618,Turning & Milling Q.C.,ID4618,Turning & Milling Q.C.,ID4618,2040.0
Case103,Turning & Milling,ID0997,2012-03-11 17:37:00.000000,2012-03-11 16:03:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,5640.0
Case103,Turning & Milling,ID0997,2012-03-11 18:48:00.000000,2012-03-11 17:37:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,4260.0
Case103,Turning & Milling,ID0997,2012-03-11 23:09:00.000000,2012-03-11 18:49:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,15600.0
Case103,Turning & Milling,ID4219,2012-03-12 01:35:00.000000,2012-03-11 23:35:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,7200.0
Case103,Turning & Milling Q.C.,ID4618,2012-03-12 15:28:00.000000,2012-03-12 15:27:00.000000,Turning & Milling Q.C.,ID4618,Turning & Milling Q.C.,ID4618,Turning & Milling Q.C.,ID4618,60.0
Case103,Laser Marking,ID4355,2012-03-13 17:46:00.000000,2012-03-13 16:54:00.000000,Laser Marking,ID4355,Laser Marking,ID4355,Laser Marking,ID4355,3120.0
Case103,Flat Grinding,ID0998,2012-03-13 21:04:00.000000,2012-03-13 20:27:00.000000,Flat Grinding,ID0998,Flat Grinding,ID0998,Flat Grinding,ID0998,2220.0
Case103,Final Inspection Q.C.,ID4618,2012-03-14 00:57:00.000000,2012-03-13 21:07:00.000000,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,13800.0
Case103,Final Inspection Q.C.,ID4618,2012-03-14 17:35:00.000000,2012-03-14 13:58:00.000000,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,13020.0
Case103,Final Inspection Q.C.,ID4618,2012-03-14 19:04:00.000000,2012-03-14 19:03:00.000000,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,60.0
Case103,Packing,ID4820,2012-03-15 08:00:00.000000,2012-03-15 07:00:00.000000,Packing,ID4820,Packing,ID4820,Packing,ID4820,3600.0
Case103,End,End,2012-03-15 08:00:00.000001,2012-03-15 08:00:00.000001,,,,,,,
Case104,Start,Start,2012-03-20 03:42:59.999999,2012-03-20 03:42:59.999999,,,,,,,
Case104,Turning & Milling,ID4529,2012-03-20 09:26:00.000000,2012-03-20 03:43:00.000000,Turning & Milling,ID4529,Turning & Milling,ID4529,Turning & Milling,ID4529,20580.0
Case104,Turning & Milling,ID4529,2012-03-20 13:41:00.000000,2012-03-20 09:27:00.000000,Turning & Milling,ID4529,Turning & Milling,ID4529,Turning & Milling,ID4529,15240.0
Case104,Turning & Milling,ID4429,2012-03-20 18:07:00.000000,2012-03-20 14:00:00.000000,Turning & Milling,ID4429,Turning & Milling,ID4429,Turning & Milling,ID4429,14820.0
Case104,Turning & Milling Q.C.,ID4493,2012-03-20 18:54:00.000000,2012-03-20 16:54:00.000000,Turning & Milling Q.C.,ID4493,Turning & Milling Q.C.,ID4493,Turning & Milling Q.C.,ID4493,7200.0
Case104,Turning & Milling Q.C.,ID4493,2012-03-21 14:41:00.000000,2012-03-21 13:55:00.000000,Turning & Milling Q.C.,ID4493,Turning & Milling Q.C.,ID4493,Turning & Milling Q.C.,ID4493,2760.0
Case104,Laser Marking,ID4718,2012-03-21 16:49:00.000000,2012-03-21 16:21:00.000000,Laser Marking,ID4718,Laser Marking,ID4718,Laser Marking,ID4718,1680.0
Case104,End,End,2012-03-21 16:49:00.000001,2012-03-21 16:49:00.000001,,,,,,,
Case105,Start,Start,2012-03-21 06:17:59.999999,2012-03-21 06:17:59.999999,,,,,,,
Case105,Turning & Milling,ID4167,2012-03-21 13:34:00.000000,2012-03-21 06:18:00.000000,Turning & Milling,ID4167,Turning & Milling,ID4167,Turning & Milling,ID4167,26160.0
Case105,Turning & Milling,ID4932,2012-03-21 17:31:00.000000,2012-03-21 14:18:00.000000,Turning & Milling,ID4932,Turning & Milling,ID4932,Turning & Milling,ID4932,11580.0
Case105,End,End,2012-03-21 17:31:00.000001,2012-03-21 17:31:00.000001,,,,,,,
Case106,Start,Start,2012-03-15 17:13:59.999999,2012-03-15 17:13:59.999999,,,,,,,
Case106,Turning & Milling,ID0997,2012-03-15 22:44:00.000000,2012-03-15 17:14:00.000000,Turning & Milling,ID0997,Turning & Milling,ID0997,Turning & Milling,ID0997,19800.0
Case106,Turning & Milling,ID4219,2012-03-16 03:38:00.000000,2012-03-15 23:55:00.000000,Turning & Milling,ID4219,Turning & Milling,ID4219,Turning & Milling,ID4219,13380.0
Case106,Turning & Milling Q.C.,ID4618,2012-03-19 14:28:00.000000,2012-03-19 14:00:00.000000,Turning & Milling Q.C.,ID4618,Turning & Milling Q.C.,ID4618,Turning & Milling Q.C.,ID4618,1680.0
Case106,Laser Marking,ID0998,2012-03-19 17:51:00.000000,2012-03-19 16:38:00.000000,Laser Marking,ID0998,Laser Marking,ID0998,Laser Marking,ID0998,4380.0
Case106,Flat Grinding,ID4882,2012-03-19 22:20:00.000000,2012-03-19 21:42:00.000000,Flat Grinding,ID4882,Flat Grinding,ID4882,Flat Grinding,ID4882,2280.0
Case106,Final Inspection Q.C.,ID4618,2012-03-22 00:57:00.000000,2012-03-21 22:27:00.000000,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,9000.0
Case106,Packing,ID4820,2012-03-22 08:00:00.000000,2012-03-22 07:00:00.000000,Packing,ID4820,Packing,ID4820,Packing,ID4820,3600.0
Case106,Final Inspection Q.C.,ID4618,2012-03-22 20:05:00.000000,2012-03-22 18:50:00.000000,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,Final Inspection Q.C.,ID4618,4500.0
Case106,End,End,2012-03-22 20:05:00.000001,2012-03-22 20:05:00.000001,,,,,,,
Case107,Start,Start,2012-03-30 14:35:59.999999,2012-03-30 14:35:59.999999,,,,,,,
Case107,Turning & Milling,ID4132,2012-03-30 19:47:00.000000,2012-03-30 14:36:00.000000,Turning & Milling,ID4132,Turning & Milling,ID4132,Turning & Milling,ID4132,18660.0
Case107,End,End,2012-03-30 19:47:00.000001,2012-03-30 19:47:00.000001,,,,,,,
Case108,Start,Start,2012-02-27 08:17:59.999999,2012-02-27 08:17:59.999999,,,,,,,
