Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) creator,(case) variant,(case) variant-index,concept:name,lifecycle:transition,org:resource,type_task
81102,Homologacion por grupo de cursos,1343,2016/02/03 22:59:19.000,2016/02/03 23:48:38.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,1343,SubProcessMultiInstance
81102,End,End,2016/02/03 23:48:38.000,2016/02/03 23:48:38.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
81201,Start,Start,2016/02/02 07:39:32.000,2016/02/02 07:39:32.000,Variant 22,22,Fluxicon Disco,Variant 22,22,Start,complete,Start,Start
81201,Traer informacion estudiante - banner,8916,2016/02/02 07:39:32.000,2016/02/02 07:39:32.000,Variant 22,22,Fluxicon Disco,Variant 22,22,Traer informacion estudiante - banner,complete,8916,AutoState
81201,Radicar Solicitud Homologacion,8916,2016/02/02 07:39:38.000,2016/02/02 07:55:38.000,Variant 22,22,Fluxicon Disco,Variant 22,22,Radicar Solicitud Homologacion,complete,8916,ManualState
81201,Notificacion estudiante cancelacion soli,8916,2016/02/04 04:15:31.000,2016/02/04 04:15:31.000,Variant 22,22,Fluxicon Disco,Variant 22,22,Notificacion estudiante cancelacion soli,complete,8916,AutoState
81201,Cancelar Solicitud,8916,2016/02/04 06:15:12.000,2016/02/04 06:15:12.000,Variant 22,22,Fluxicon Disco,Variant 22,22,Cancelar Solicitud,complete,8916,Event
81201,End,End,2016/02/04 06:15:12.000,2016/02/04 06:15:12.000,Variant 22,22,Fluxicon Disco,Variant 22,22,End,complete,End,End
81301,Start,Start,2016/02/02 10:30:08.000,2016/02/02 10:30:08.000,Variant 9,9,Fluxicon Disco,Variant 9,9,Start,complete,Start,Start
81301,Traer informacion estudiante - banner,4867,2016/02/02 10:30:08.000,2016/02/02 10:30:08.000,Variant 9,9,Fluxicon Disco,Variant 9,9,Traer informacion estudiante - banner,complete,4867,AutoState
81301,Radicar Solicitud Homologacion,4867,2016/02/02 10:30:12.000,2016/02/02 10:30:12.000,Variant 9,9,Fluxicon Disco,Variant 9,9,Radicar Solicitud Homologacion,complete,4867,ManualState
81301,Validar solicitud,22475,2016/02/02 10:38:03.000,2016/02/02 10:49:59.000,Variant 9,9,Fluxicon Disco,Variant 9,9,Validar solicitud,complete,22475,ManualState
81301,Cancelar Solicitud,669,2016/02/02 10:38:03.000,2016/02/02 11:10:03.000,Variant 9,9,Fluxicon Disco,Variant 9,9,Cancelar Solicitud,complete,669,Event
81301,Notificacion estudiante cancelacion soli,669,2016/02/08 14:22:23.000,2016/02/08 14:22:23.000,Variant 9,9,Fluxicon Disco,Variant 9,9,Notificacion estudiante cancelacion soli,complete,669,AutoState
81301,End,End,2016/02/08 14:22:23.000,2016/02/08 14:22:23.000,Variant 9,9,Fluxicon Disco,Variant 9,9,End,complete,End,End
81801,Start,Start,2016/02/03 15:03:14.000,2016/02/03 15:03:14.000,Variant 15,15,Fluxicon Disco,Variant 15,15,Start,complete,Start,Start
81801,Homologacion por grupo de cursos,1007,2016/02/03 15:03:14.000,2016/02/03 16:11:05.000,Variant 15,15,Fluxicon Disco,Variant 15,15,Homologacion por grupo de cursos,complete,1007,SubProcessMultiInstance
81801,Traer informacion estudiante - banner,8997,2016/02/03 16:13:10.000,2016/02/03 16:13:10.000,Variant 15,15,Fluxicon Disco,Variant 15,15,Traer informacion estudiante - banner,complete,8997,AutoState
81801,Radicar Solicitud Homologacion,8997,2016/02/03 16:13:17.000,2016/02/03 16:13:57.000,Variant 15,15,Fluxicon Disco,Variant 15,15,Radicar Solicitud Homologacion,complete,8997,ManualState
81801,Validar solicitud,19019,2016/02/03 16:54:00.000,2016/02/03 16:54:00.000,Variant 15,15,Fluxicon Disco,Variant 15,15,Validar solicitud,complete,19019,ManualState
81801,End,End,2016/02/03 16:54:00.000,2016/02/03 16:54:00.000,Variant 15,15,Fluxicon Disco,Variant 15,15,End,complete,End,End
81802,Start,Start,2016/02/03 16:22:13.000,2016/02/03 16:22:13.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
81802,Traer informacion estudiante - banner,8997,2016/02/03 16:22:13.000,2016/02/03 16:22:13.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,8997,AutoState
81802,Radicar Solicitud Homologacion,8997,2016/02/03 16:22:14.000,2016/02/03 16:22:19.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,8997,ManualState
81802,Validar solicitud,387,2016/02/03 16:27:40.000,2016/02/03 16:29:03.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,387,ManualState
81802,Homologacion por grupo de cursos,1007,2016/02/03 17:51:35.000,2016/02/04 02:39:09.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,1007,SubProcessMultiInstance
81802,End,End,2016/02/04 02:39:09.000,2016/02/04 02:39:09.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
81803,Start,Start,2016/02/03 16:29:30.000,2016/02/03 16:29:30.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
81803,Traer informacion estudiante - banner,8997,2016/02/03 16:29:30.000,2016/02/03 16:29:30.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,8997,AutoState
81803,Radicar Solicitud Homologacion,8997,2016/02/03 16:29:31.000,2016/02/03 16:29:38.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,8997,ManualState
81803,Validar solicitud,387,2016/02/03 16:36:58.000,2016/02/03 16:38:13.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,387,ManualState
81803,Homologacion por grupo de cursos,22491,2016/02/03 17:52:29.000,2016/02/03 20:57:36.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,22491,SubProcessMultiInstance
81803,End,End,2016/02/03 20:57:36.000,2016/02/03 20:57:36.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
81804,Start,Start,2016/02/03 16:39:44.000,2016/02/03 16:39:44.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
81804,Traer informacion estudiante - banner,8997,2016/02/03 16:39:44.000,2016/02/03 16:39:44.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,8997,AutoState
81804,Radicar Solicitud Homologacion,8997,2016/02/03 16:39:45.000,2016/02/03 16:39:54.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,8997,ManualState
81804,Validar solicitud,387,2016/02/03 16:49:16.000,2016/02/03 16:50:19.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,387,ManualState
81804,Homologacion por grupo de cursos,1007,2016/02/03 17:52:59.000,2016/02/03 18:12:02.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,1007,SubProcessMultiInstance
81804,End,End,2016/02/03 18:12:02.000,2016/02/03 18:12:02.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
81805,Start,Start,2016/02/03 16:54:27.000,2016/02/03 16:54:27.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
81805,Traer informacion estudiante - banner,8997,2016/02/03 16:54:27.000,2016/02/03 16:54:27.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,8997,AutoState
81805,Radicar Solicitud Homologacion,8997,2016/02/03 16:54:28.000,2016/02/03 16:54:32.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,8997,ManualState
81805,Validar solicitud,387,2016/02/03 16:58:47.000,2016/02/03 16:59:42.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,387,ManualState
81805,Homologacion por grupo de cursos,1007,2016/02/03 17:54:40.000,2016/02/03 18:13:43.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,1007,SubProcessMultiInstance
81805,End,End,2016/02/03 18:13:43.000,2016/02/03 18:13:43.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
81851,Start,Start,2016/02/03 14:24:22.000,2016/02/03 14:24:22.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Start,complete,Start,Start
81851,Traer informacion estudiante - banner,955,2016/02/03 14:24:22.000,2016/02/03 14:24:22.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Traer informacion estudiante - banner,complete,955,AutoState
81851,Radicar Solicitud Homologacion,955,2016/02/03 14:24:26.000,2016/02/03 14:30:27.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Radicar Solicitud Homologacion,complete,955,ManualState
81851,Cancelar Solicitud,22475,2016/02/03 23:01:07.000,2016/02/03 23:17:37.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Cancelar Solicitud,complete,22475,Event
81851,Notificacion estudiante cancelacion soli,22475,2016/02/05 23:31:27.000,2016/02/05 23:31:27.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Notificacion estudiante cancelacion soli,complete,22475,AutoState
81851,End,End,2016/02/05 23:31:27.000,2016/02/05 23:31:27.000,Variant 1,1,Fluxicon Disco,Variant 1,1,End,complete,End,End
81951,Start,Start,2016/02/03 21:22:37.000,2016/02/03 21:22:37.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Start,complete,Start,Start
81951,Traer informacion estudiante - banner,8443,2016/02/03 21:22:37.000,2016/02/03 21:22:37.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Traer informacion estudiante - banner,complete,8443,AutoState
81951,Radicar Solicitud Homologacion,8443,2016/02/03 21:22:41.000,2016/02/03 21:50:18.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Radicar Solicitud Homologacion,complete,8443,ManualState
81951,Cancelar Solicitud,8443,2016/02/09 03:52:53.000,2016/02/09 05:18:13.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Cancelar Solicitud,complete,8443,Event
81951,Notificacion estudiante cancelacion soli,8443,2016/02/23 22:20:40.000,2016/02/23 22:20:40.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Notificacion estudiante cancelacion soli,complete,8443,AutoState
81951,End,End,2016/02/23 22:20:40.000,2016/02/23 22:20:40.000,Variant 1,1,Fluxicon Disco,Variant 1,1,End,complete,End,End
82008,Start,Start,2016/02/03 23:08:17.000,2016/02/03 23:08:17.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
82008,Traer informacion estudiante - banner,955,2016/02/03 23:08:17.000,2016/02/03 23:08:17.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,955,AutoState
82008,Radicar Solicitud Homologacion,955,2016/02/03 23:08:18.000,2016/02/03 23:08:29.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,955,ManualState
82008,Validar solicitud,1707,2016/02/03 23:19:36.000,2016/02/04 00:04:55.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,1707,ManualState
82008,Homologacion por grupo de cursos,15930,2016/02/11 18:39:20.000,2016/02/11 20:55:40.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,15930,SubProcessMultiInstance
82008,End,End,2016/02/11 20:55:40.000,2016/02/11 20:55:40.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
82009,Start,Start,2016/02/03 23:20:30.000,2016/02/03 23:20:30.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
82009,Traer informacion estudiante - banner,955,2016/02/03 23:20:30.000,2016/02/03 23:20:30.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,955,AutoState
82009,Radicar Solicitud Homologacion,955,2016/02/03 23:20:31.000,2016/02/03 23:20:39.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,955,ManualState
82009,Validar solicitud,1707,2016/02/03 23:28:42.000,2016/02/04 00:13:51.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,1707,ManualState
82009,Homologacion por grupo de cursos,15930,2016/02/11 18:37:42.000,2016/02/11 20:51:10.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,15930,SubProcessMultiInstance
82009,End,End,2016/02/11 20:51:10.000,2016/02/11 20:51:10.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
82054,Start,Start,2016/02/04 02:15:40.000,2016/02/04 02:15:40.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
82054,Traer informacion estudiante - banner,18289,2016/02/04 02:15:40.000,2016/02/04 02:15:40.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,18289,AutoState
82054,Radicar Solicitud Homologacion,18289,2016/02/04 02:15:41.000,2016/02/04 02:15:41.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,18289,ManualState
82054,Validar solicitud,22475,2016/02/04 02:34:06.000,2016/02/04 02:48:23.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,22475,ManualState
82054,Homologacion por grupo de cursos,1343,2016/02/05 23:17:06.000,2016/02/05 23:50:08.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,1343,SubProcessMultiInstance
82054,End,End,2016/02/05 23:50:08.000,2016/02/05 23:50:08.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
82101,Start,Start,2016/02/04 03:31:58.000,2016/02/04 03:31:58.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
82101,Traer informacion estudiante - banner,16695,2016/02/04 03:31:58.000,2016/02/04 03:31:58.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,16695,AutoState
82101,Radicar Solicitud Homologacion,16695,2016/02/04 03:32:03.000,2016/02/04 03:33:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,16695,ManualState
82101,Validar solicitud,659,2016/02/04 15:57:57.000,2016/02/04 16:05:49.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,659,ManualState
82101,Homologacion por grupo de cursos,1422,2016/02/05 15:50:37.000,2016/02/05 15:51:10.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,1422,SubProcessMultiInstance
82101,End,End,2016/02/05 15:51:10.000,2016/02/05 15:51:10.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
82102,Start,Start,2016/02/04 03:55:28.000,2016/02/04 03:55:28.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
82102,Traer informacion estudiante - banner,528,2016/02/04 03:55:28.000,2016/02/04 03:55:28.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,528,AutoState
82102,Radicar Solicitud Homologacion,528,2016/02/04 03:55:29.000,2016/02/04 03:55:29.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,528,ManualState
82102,Validar solicitud,716,2016/02/04 05:18:54.000,2016/02/04 05:46:17.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,716,ManualState
82102,Homologacion por grupo de cursos,7394,2016/02/09 18:23:47.000,2016/02/09 19:52:30.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,7394,SubProcessMultiInstance
82102,End,End,2016/02/09 19:52:30.000,2016/02/09 19:52:30.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
82151,Start,Start,2016/02/04 01:39:02.000,2016/02/04 01:39:02.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Start,complete,Start,Start
82151,Traer informacion estudiante - banner,6186,2016/02/04 01:39:02.000,2016/02/04 01:39:02.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Traer informacion estudiante - banner,complete,6186,AutoState
82151,Radicar Solicitud Homologacion,6186,2016/02/04 01:39:07.000,2016/02/04 01:39:07.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Radicar Solicitud Homologacion,complete,6186,ManualState
82151,Cancelar Solicitud,22404,2016/02/04 01:55:20.000,2016/02/04 02:45:05.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Cancelar Solicitud,complete,22404,Event
82151,Notificacion estudiante cancelacion soli,22404,2016/02/12 16:45:53.000,2016/02/12 16:45:53.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Notificacion estudiante cancelacion soli,complete,22404,AutoState
82151,End,End,2016/02/12 16:45:53.000,2016/02/12 16:45:53.000,Variant 1,1,Fluxicon Disco,Variant 1,1,End,complete,End,End
82251,Start,Start,2016/02/04 06:20:38.000,2016/02/04 06:20:38.000,Variant 9,9,Fluxicon Disco,Variant 9,9,Start,complete,Start,Start
82251,Traer informacion estudiante - banner,8916,2016/02/04 06:20:38.000,2016/02/04 06:20:38.000,Variant 9,9,Fluxicon Disco,Variant 9,9,Traer informacion estudiante - banner,complete,8916,AutoState
82251,Radicar Solicitud Homologacion,8916,2016/02/04 06:20:41.000,2016/02/04 06:20:41.000,Variant 9,9,Fluxicon Disco,Variant 9,9,Radicar Solicitud Homologacion,complete,8916,ManualState
82251,Validar solicitud,669,2016/02/04 06:28:26.000,2016/02/04 06:38:22.000,Variant 9,9,Fluxicon Disco,Variant 9,9,Validar solicitud,complete,669,ManualState
82251,Cancelar Solicitud,8916,2016/02/04 06:28:26.000,2016/02/04 07:07:51.000,Variant 9,9,Fluxicon Disco,Variant 9,9,Cancelar Solicitud,complete,8916,Event
82251,Notificacion estudiante cancelacion soli,8916,2016/02/11 00:25:56.000,2016/02/11 00:25:56.000,Variant 9,9,Fluxicon Disco,Variant 9,9,Notificacion estudiante cancelacion soli,complete,8916,AutoState
82251,End,End,2016/02/11 00:25:56.000,2016/02/11 00:25:56.000,Variant 9,9,Fluxicon Disco,Variant 9,9,End,complete,End,End
82301,Start,Start,2016/02/04 07:55:23.000,2016/02/04 07:55:23.000,Variant 43,43,Fluxicon Disco,Variant 43,43,Start,complete,Start,Start
82301,Traer informacion estudiante - banner,8186,2016/02/04 07:55:23.000,2016/02/04 07:55:23.000,Variant 43,43,Fluxicon Disco,Variant 43,43,Traer informacion estudiante - banner,complete,8186,AutoState
82301,Radicar Solicitud Homologacion,8186,2016/02/04 07:55:26.000,2016/02/04 08:07:46.000,Variant 43,43,Fluxicon Disco,Variant 43,43,Radicar Solicitud Homologacion,complete,8186,ManualState
82301,Recepcion de documentos,26789,2016/02/05 19:25:26.000,2016/02/06 07:33:26.000,Variant 43,43,Fluxicon Disco,Variant 43,43,Recepcion de documentos,complete,26789,Event
82301,Homologacion por grupo de cursos,1007,2016/02/05 19:25:27.000,2016/02/06 07:42:52.000,Variant 43,43,Fluxicon Disco,Variant 43,43,Homologacion por grupo de cursos,complete,1007,SubProcessMultiInstance
82301,Validar solicitud,387,2016/02/05 21:20:17.000,2016/02/05 21:20:17.000,Variant 43,43,Fluxicon Disco,Variant 43,43,Validar solicitud,complete,387,ManualState
82301,End,End,2016/02/05 21:20:17.000,2016/02/05 21:20:17.000,Variant 43,43,Fluxicon Disco,Variant 43,43,End,complete,End,End
82503,Start,Start,2016/02/04 14:47:27.000,2016/02/04 14:47:27.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Start,complete,Start,Start
82503,Traer informacion estudiante - banner,8528,2016/02/04 14:47:27.000,2016/02/04 14:47:27.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Traer informacion estudiante - banner,complete,8528,AutoState
82503,Radicar Solicitud Homologacion,8528,2016/02/04 14:47:30.000,2016/02/04 14:47:36.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Radicar Solicitud Homologacion,complete,8528,ManualState
82503,Cancelar Solicitud,8528,2016/02/04 15:06:17.000,2016/02/04 15:06:28.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Cancelar Solicitud,complete,8528,Event
82503,Notificacion estudiante cancelacion soli,8528,2016/02/04 15:18:12.000,2016/02/04 15:18:12.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Notificacion estudiante cancelacion soli,complete,8528,AutoState
82503,End,End,2016/02/04 15:18:12.000,2016/02/04 15:18:12.000,Variant 1,1,Fluxicon Disco,Variant 1,1,End,complete,End,End
82505,Start,Start,2016/02/04 15:06:44.000,2016/02/04 15:06:44.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Start,complete,Start,Start
82505,Traer informacion estudiante - banner,8528,2016/02/04 15:06:44.000,2016/02/04 15:06:44.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Traer informacion estudiante - banner,complete,8528,AutoState
82505,Radicar Solicitud Homologacion,8528,2016/02/04 15:06:45.000,2016/02/04 15:06:50.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Radicar Solicitud Homologacion,complete,8528,ManualState
82505,Cancelar Solicitud,1707,2016/02/04 15:12:27.000,2016/02/04 15:56:14.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Cancelar Solicitud,complete,1707,Event
82505,Notificacion estudiante cancelacion soli,1707,2016/02/11 19:15:32.000,2016/02/11 19:15:32.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Notificacion estudiante cancelacion soli,complete,1707,AutoState
82505,End,End,2016/02/11 19:15:32.000,2016/02/11 19:15:32.000,Variant 1,1,Fluxicon Disco,Variant 1,1,End,complete,End,End
82506,Start,Start,2016/02/04 15:16:32.000,2016/02/04 15:16:32.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
82506,Traer informacion estudiante - banner,2804,2016/02/04 15:16:32.000,2016/02/04 15:16:32.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,2804,AutoState
82506,Radicar Solicitud Homologacion,2804,2016/02/04 15:16:33.000,2016/02/04 15:16:40.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,2804,ManualState
82506,Validar solicitud,677,2016/02/04 15:24:30.000,2016/02/04 15:40:05.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,677,ManualState
82506,Homologacion por grupo de cursos,3445,2016/02/08 14:36:31.000,2016/02/08 16:24:31.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,3445,SubProcessMultiInstance
82506,End,End,2016/02/08 16:24:31.000,2016/02/08 16:24:31.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
82507,Start,Start,2016/02/04 15:18:19.000,2016/02/04 15:18:19.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
82507,Traer informacion estudiante - banner,8528,2016/02/04 15:18:19.000,2016/02/04 15:18:19.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,8528,AutoState
82507,Radicar Solicitud Homologacion,8528,2016/02/04 15:18:20.000,2016/02/04 15:18:21.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,8528,ManualState
82507,Validar solicitud,6694,2016/02/04 15:19:58.000,2016/02/04 15:29:27.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,6694,ManualState
82507,Homologacion por grupo de cursos,6990,2016/02/05 16:49:44.000,2016/02/05 19:23:54.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,6990,SubProcessMultiInstance
82507,End,End,2016/02/05 19:23:54.000,2016/02/05 19:23:54.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
82508,Start,Start,2016/02/04 15:24:47.000,2016/02/04 15:24:47.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
82508,Traer informacion estudiante - banner,8528,2016/02/04 15:24:47.000,2016/02/04 15:24:47.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,8528,AutoState
82508,Radicar Solicitud Homologacion,8528,2016/02/04 15:24:49.000,2016/02/04 15:24:57.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,8528,ManualState
82508,Validar solicitud,1707,2016/02/04 15:33:34.000,2016/02/04 16:17:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,1707,ManualState
82508,Homologacion por grupo de cursos,15930,2016/02/11 19:12:01.000,2016/02/11 21:57:32.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,15930,SubProcessMultiInstance
82508,End,End,2016/02/11 21:57:32.000,2016/02/11 21:57:32.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
82604,Start,Start,2016/02/04 21:15:57.000,2016/02/04 21:15:57.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
82604,Traer informacion estudiante - banner,8450,2016/02/04 21:15:57.000,2016/02/04 21:15:57.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,8450,AutoState
82604,Radicar Solicitud Homologacion,8450,2016/02/04 21:16:00.000,2016/02/04 21:16:08.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,8450,ManualState
82604,Validar solicitud,18929,2016/02/04 21:24:12.000,2016/02/04 23:03:47.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,18929,ManualState
