case_id,resource,role,activity,FixedCost,ResourceCost,Start_Time,End_Time,AssignedTime
2,AML Investigator-000002,AML Investigator,AML check,0.0,0.0,2023-02-09T09:06:01.923,2023-02-09T09:44:47.607,2023-02-09T09:06:01.923
3,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2023-02-09T09:39:23.764,2023-02-09T09:45:58.199,2023-02-09T09:39:23.764
0,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-09T09:44:03.425,2023-02-09T09:57:08.535,2023-02-09T09:41:38.460
0,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-09T09:41:38.460,2023-02-09T09:57:32.147,2023-02-09T09:41:38.460
0,Clerk-000002,Clerk,Check credit history,0.0,0.27,2023-02-09T09:41:38.460,2023-02-09T09:57:50.368,2023-02-09T09:41:38.460
0,Loan Officer-000003,Loan Officer,Assess loan risk,0.0,0.0,2023-02-09T09:57:50.368,2023-02-09T10:17:50.368,2023-02-09T09:57:50.368
4,Clerk-000003,Clerk,Check application form completeness,0.0,0.34,2023-02-09T10:00:00.000,2023-02-09T10:20:23.497,2023-02-09T10:00:00.000
3,Clerk-000001,Clerk,Check credit history,0.0,0.72,2023-02-09T09:39:23.764,2023-02-09T10:22:19.619,2023-02-09T09:39:23.764
4,Clerk-000004,Clerk,Return application back to applicant,0.0,0.08,2023-02-09T10:20:23.497,2023-02-09T10:25:23.497,2023-02-09T10:20:23.497
2,Clerk-000006,Clerk,Check credit history,0.0,1.44,2023-02-09T09:06:01.923,2023-02-09T10:32:36.365,2023-02-09T09:06:01.923
5,Clerk-000005,Clerk,Check application form completeness,0.0,0.08,2023-02-09T10:30:00.000,2023-02-09T10:35:00.888,2023-02-09T10:30:00.000
0,Loan Officer-000004,Loan Officer,Design loan offer,0.0,0.0,2023-02-09T10:17:50.368,2023-02-09T10:37:46.696,2023-02-09T10:17:50.368
5,Clerk-000008,Clerk,Check credit history,0.0,0.08,2023-02-09T10:35:00.888,2023-02-09T10:39:42.108,2023-02-09T10:35:00.888
3,Loan Officer-000001,Loan Officer,Assess loan risk,0.0,0.0,2023-02-09T10:22:19.619,2023-02-09T10:42:19.619,2023-02-09T10:22:19.619
1,Clerk-000007,Clerk,Cancel application,0.0,0.08,2023-02-09T10:39:01.634,2023-02-09T10:44:01.634,2023-02-09T10:39:01.634
2,Loan Officer-000002,Loan Officer,Assess loan risk,0.0,0.0,2023-02-09T10:32:36.365,2023-02-09T10:52:36.365,2023-02-09T10:32:36.365
3,Loan Officer-000003,Loan Officer,Design loan offer,0.0,0.0,2023-02-09T10:42:19.619,2023-02-09T10:57:28.246,2023-02-09T10:42:19.619
0,Senior Officer-000002,Senior Officer,Approve loan offer,0.0,0.0,2023-02-09T10:37:46.696,2023-02-09T10:57:46.696,2023-02-09T10:37:46.696
6,Clerk-000002,Clerk,Check application form completeness,0.0,0.03,2023-02-09T11:00:00.000,2023-02-09T11:01:48.739,2023-02-09T11:00:00.000
2,Loan Officer-000004,Loan Officer,Design loan offer,0.0,0.0,2023-02-09T10:52:36.365,2023-02-09T11:06:32.329,2023-02-09T10:52:36.365
6,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-09T11:01:48.739,2023-02-09T11:07:19.825,2023-02-09T11:01:48.739
3,Senior Officer-000001,Senior Officer,Approve loan offer,0.0,0.0,2023-02-09T10:57:28.246,2023-02-09T11:17:28.246,2023-02-09T10:57:28.246
5,AML Investigator-000002,AML Investigator,AML check,0.0,0.0,2023-02-09T10:35:00.888,2023-02-09T11:18:47.525,2023-02-09T10:35:00.888
5,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2023-02-09T10:35:00.888,2023-02-09T11:21:05.272,2023-02-09T10:35:00.888
4,Applicant-000001,Applicant,Applicant completes form,0.0,0.0,2023-02-09T10:25:23.497,2023-02-09T11:25:23.497,2023-02-09T10:25:23.497
2,Senior Officer-000002,Senior Officer,Approve loan offer,0.0,0.0,2023-02-09T11:06:32.329,2023-02-09T11:26:32.329,2023-02-09T11:06:32.329
6,Clerk-000003,Clerk,Check credit history,0.0,0.47,2023-02-09T11:01:48.739,2023-02-09T11:29:52.035,2023-02-09T11:01:48.739
5,Loan Officer-000001,Loan Officer,Assess loan risk,0.0,0.0,2023-02-09T11:21:05.272,2023-02-09T11:41:05.272,2023-02-09T11:21:05.272
5,Loan Officer-000002,Loan Officer,Design loan offer,0.0,0.0,2023-02-09T11:41:05.272,2023-02-09T11:41:07.632,2023-02-09T11:41:05.272
6,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-09T11:01:48.739,2023-02-09T11:54:31.775,2023-02-09T11:01:48.739
5,Senior Officer-000001,Senior Officer,Approve loan offer,0.0,0.0,2023-02-09T11:41:07.632,2023-02-09T12:01:07.632,2023-02-09T11:41:07.632
0,Clerk-000006,Clerk,Cancel application,0.0,0.08,2023-02-09T11:57:46.696,2023-02-09T12:02:46.696,2023-02-09T11:57:46.696
8,Clerk-000005,Clerk,Check application form completeness,0.0,0.16,2023-02-09T12:00:00.000,2023-02-09T12:09:29.541,2023-02-09T12:00:00.000
8,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2023-02-09T12:09:29.541,2023-02-09T12:10:12.098,2023-02-09T12:09:29.541
4,Clerk-000001,Clerk,Check application form completeness,0.0,0.76,2023-02-09T11:25:23.497,2023-02-09T12:10:58.447,2023-02-09T11:25:23.497
4,AML Investigator-000002,AML Investigator,AML check,0.0,0.0,2023-02-09T12:10:58.447,2023-02-09T12:11:49.297,2023-02-09T12:10:58.447
6,Loan Officer-000003,Loan Officer,Assess loan risk,0.0,0.0,2023-02-09T11:54:31.775,2023-02-09T12:14:31.775,2023-02-09T11:54:31.775
7,Clerk-000004,Clerk,Check application form completeness,0.0,0.8,2023-02-09T11:30:00.000,2023-02-09T12:18:04.174,2023-02-09T11:30:00.000
3,Clerk-000002,Clerk,Approve application,0.0,0.08,2023-02-09T12:17:28.246,2023-02-09T12:22:28.246,2023-02-09T12:17:28.246
7,Clerk-000003,Clerk,Return application back to applicant,0.0,0.08,2023-02-09T12:18:04.174,2023-02-09T12:23:04.174,2023-02-09T12:18:04.174
6,Loan Officer-000004,Loan Officer,Design loan offer,0.0,0.0,2023-02-09T12:14:31.775,2023-02-09T12:23:23.205,2023-02-09T12:14:31.775
8,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-09T12:09:29.541,2023-02-09T12:28:27.950,2023-02-09T12:09:29.541
8,Clerk-000008,Clerk,Check credit history,0.0,0.32,2023-02-09T12:09:29.541,2023-02-09T12:28:28.230,2023-02-09T12:09:29.541
2,Clerk-000006,Clerk,Approve application,0.0,0.08,2023-02-09T12:26:32.329,2023-02-09T12:31:32.329,2023-02-09T12:26:32.329
6,Senior Officer-000002,Senior Officer,Approve loan offer,0.0,0.0,2023-02-09T12:23:23.205,2023-02-09T12:43:23.205,2023-02-09T12:23:23.205
8,Loan Officer-000001,Loan Officer,Assess loan risk,0.0,0.0,2023-02-09T12:28:28.230,2023-02-09T12:48:28.230,2023-02-09T12:28:28.230
4,Clerk-000007,Clerk,Check credit history,0.0,0.65,2023-02-09T12:10:58.447,2023-02-09T12:49:47.090,2023-02-09T12:10:58.447
8,Loan Officer-000002,Loan Officer,Design loan offer,0.0,0.0,2023-02-09T12:48:28.230,2023-02-09T12:52:00.196,2023-02-09T12:48:28.230
9,Clerk-000005,Clerk,Check application form completeness,0.0,0.45,2023-02-09T12:30:00.000,2023-02-09T12:57:11.501,2023-02-09T12:30:00.000
9,Clerk-000001,Clerk,Check credit history,0.0,0.02,2023-02-09T12:57:11.501,2023-02-09T12:58:18.829,2023-02-09T12:57:11.501
9,AML Investigator-000002,AML Investigator,AML check,0.0,0.0,2023-02-09T12:57:11.501,2023-02-09T12:59:18.704,2023-02-09T12:57:11.501
5,Clerk-000002,Clerk,Approve application,0.0,0.08,2023-02-09T13:01:07.632,2023-02-09T13:06:07.632,2023-02-09T13:01:07.632
4,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-09T12:10:58.447,2023-02-09T13:11:48.500,2023-02-09T12:10:58.447
8,Senior Officer-000001,Senior Officer,Approve loan offer,0.0,0.0,2023-02-09T12:52:00.196,2023-02-09T13:12:00.196,2023-02-09T12:52:00.196
7,Applicant-000001,Applicant,Applicant completes form,0.0,0.0,2023-02-09T12:23:04.174,2023-02-09T13:23:04.174,2023-02-09T12:23:04.174
7,Clerk-000003,Clerk,Check application form completeness,0.0,0.08,2023-02-09T13:23:04.174,2023-02-09T13:27:56.369,2023-02-09T13:23:04.174
4,Loan Officer-000003,Loan Officer,Assess loan risk,0.0,0.0,2023-02-09T13:11:48.500,2023-02-09T13:31:48.500,2023-02-09T13:11:48.500
7,Clerk-000008,Clerk,Check credit history,0.0,0.11,2023-02-09T13:27:56.369,2023-02-09T13:34:43.304,2023-02-09T13:27:56.369
11,Clerk-000006,Clerk,Check application form completeness,0.0,0.12,2023-02-09T13:30:00.000,2023-02-09T13:36:58.748,2023-02-09T13:30:00.000
7,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-09T13:27:56.369,2023-02-09T13:39:30.717,2023-02-09T13:27:56.369
11,Clerk-000007,Clerk,Return application back to applicant,0.0,0.08,2023-02-09T13:36:58.748,2023-02-09T13:41:58.748,2023-02-09T13:36:58.748
6,Clerk-000005,Clerk,Cancel application,0.0,0.08,2023-02-09T13:43:23.205,2023-02-09T13:48:23.205,2023-02-09T13:43:23.205
7,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-09T13:27:56.369,2023-02-09T13:53:54.318,2023-02-09T13:27:56.369
10,Clerk-000004,Clerk,Check application form completeness,0.0,0.9,2023-02-09T13:00:00.000,2023-02-09T13:54:00.747,2023-02-09T13:00:00.000
10,Clerk-000001,Clerk,Check credit history,0.0,0.03,2023-02-09T13:54:00.747,2023-02-09T13:55:36.245,2023-02-09T13:54:00.747
4,Loan Officer-000004,Loan Officer,Design loan offer,0.0,0.0,2023-02-09T13:31:48.500,2023-02-09T13:55:53.084,2023-02-09T13:31:48.500
9,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2023-02-09T12:57:11.501,2023-02-09T13:58:16.987,2023-02-09T12:57:11.501
10,AML Investigator-000002,AML Investigator,AML check,0.0,0.0,2023-02-09T13:54:00.747,2023-02-09T14:10:16.721,2023-02-09T13:54:00.747
7,Loan Officer-000001,Loan Officer,Assess loan risk,0.0,0.0,2023-02-09T13:53:54.318,2023-02-09T14:13:54.318,2023-02-09T13:53:54.318
4,Senior Officer-000002,Senior Officer,Approve loan offer,0.0,0.0,2023-02-09T13:55:53.084,2023-02-09T14:15:53.084,2023-02-09T13:55:53.084
8,Clerk-000003,Clerk,Cancel application,0.0,0.08,2023-02-09T14:12:00.196,2023-02-09T14:17:00.196,2023-02-09T14:12:00.196
9,Loan Officer-000002,Loan Officer,Assess loan risk,0.0,0.0,2023-02-09T13:58:16.987,2023-02-09T14:18:16.987,2023-02-09T13:58:16.987
10,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-09T13:54:00.747,2023-02-09T14:21:26.232,2023-02-09T13:54:00.747
9,Loan Officer-000003,Loan Officer,Design loan offer,0.0,0.0,2023-02-09T14:18:16.987,2023-02-09T14:38:38.688,2023-02-09T14:18:16.987
10,Loan Officer-000004,Loan Officer,Assess loan risk,0.0,0.0,2023-02-09T14:21:26.232,2023-02-09T14:41:26.232,2023-02-09T14:21:26.232
11,Applicant-000001,Applicant,Applicant completes form,0.0,0.0,2023-02-09T13:41:58.748,2023-02-09T14:41:58.748,2023-02-09T13:41:58.748
12,Clerk-000002,Clerk,Check application form completeness,0.0,0.9,2023-02-09T14:00:00.000,2023-02-09T14:54:12.548,2023-02-09T14:00:00.000
13,Clerk-000008,Clerk,Check application form completeness,0.0,0.47,2023-02-09T14:30:00.000,2023-02-09T14:58:10.842,2023-02-09T14:30:00.000
9,Senior Officer-000001,Senior Officer,Approve loan offer,0.0,0.0,2023-02-09T14:38:38.688,2023-02-09T14:58:38.688,2023-02-09T14:38:38.688
4,Clerk-000003,Clerk,Cancel application,0.0,0.08,2023-02-10T07:00:00.000,2023-02-10T07:05:00.000,2023-02-09T15:15:53.084
9,Clerk-000008,Clerk,Cancel application,0.0,0.08,2023-02-10T07:00:00.000,2023-02-10T07:05:00.000,2023-02-09T15:58:38.688
12,Clerk-000007,Clerk,Check credit history,0.0,0.19,2023-02-09T14:54:12.548,2023-02-10T07:05:49.295,2023-02-09T14:54:12.548
7,Clerk-000001,Clerk,Reject application,0.0,0.17,2023-02-10T07:00:00.000,2023-02-10T07:10:00.000,2023-02-09T15:13:54.318
10,Clerk-000002,Clerk,Reject application,0.0,0.17,2023-02-10T07:00:00.000,2023-02-10T07:10:00.000,2023-02-09T15:41:26.232
12,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-09T14:54:12.548,2023-02-10T07:13:40.382,2023-02-09T14:54:12.548
13,AML Investigator-000002,AML Investigator,AML check,0.0,0.0,2023-02-09T14:58:10.842,2023-02-10T07:14:35.333,2023-02-09T14:58:10.842
13,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-09T14:58:10.842,2023-02-10T07:21:58.484,2023-02-09T14:58:10.842
11,Clerk-000006,Clerk,Check application form completeness,0.0,0.69,2023-02-09T14:41:58.748,2023-02-10T07:23:27.436,2023-02-09T14:41:58.748
12,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2023-02-09T14:54:12.548,2023-02-10T07:28:00.216,2023-02-09T14:54:12.548
15,Clerk-000008,Clerk,Check application form completeness,0.0,0.01,2023-02-10T07:30:00.000,2023-02-10T07:30:52.341,2023-02-10T07:30:00.000
15,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2023-02-10T07:30:52.341,2023-02-10T07:35:41.721,2023-02-10T07:30:52.341
11,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-10T07:23:27.436,2023-02-10T07:38:06.656,2023-02-10T07:23:27.436
12,Loan Officer-000001,Loan Officer,Assess loan risk,0.0,0.0,2023-02-10T07:28:00.216,2023-02-10T07:48:00.216,2023-02-10T07:28:00.216
11,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-10T07:23:27.436,2023-02-10T07:48:21.230,2023-02-10T07:23:27.436
11,Clerk-000003,Clerk,Check credit history,0.0,0.65,2023-02-10T07:23:27.436,2023-02-10T08:02:42.158,2023-02-10T07:23:27.436
15,Clerk-000007,Clerk,Check credit history,0.0,0.54,2023-02-10T07:30:52.341,2023-02-10T08:03:04.417,2023-02-10T07:30:52.341
16,Clerk-000001,Clerk,Check application form completeness,0.0,0.1,2023-02-10T08:00:00.000,2023-02-10T08:06:10.509,2023-02-10T08:00:00.000
14,Clerk-000004,Clerk,Check application form completeness,0.0,1.11,2023-02-10T07:00:00.000,2023-02-10T08:06:33.469,2023-02-09T15:00:00.000
16,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2023-02-10T08:06:10.509,2023-02-10T08:14:10.213,2023-02-10T08:06:10.509
13,Clerk-000005,Clerk,Check credit history,0.0,1.28,2023-02-09T14:58:10.842,2023-02-10T08:15:09.755,2023-02-09T14:58:10.842
16,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-10T08:06:10.509,2023-02-10T08:18:26.538,2023-02-10T08:06:10.509
11,Loan Officer-000002,Loan Officer,Assess loan risk,0.0,0.0,2023-02-10T08:02:42.158,2023-02-10T08:22:42.158,2023-02-10T08:02:42.158
11,Loan Officer-000004,Loan Officer,Design loan offer,0.0,0.0,2023-02-10T08:22:42.158,2023-02-10T08:25:41.243,2023-02-10T08:22:42.158
15,AML Investigator-000002,AML Investigator,AML check,0.0,0.0,2023-02-10T07:30:52.341,2023-02-10T08:34:51.480,2023-02-10T07:30:52.341
13,Loan Officer-000003,Loan Officer,Assess loan risk,0.0,0.0,2023-02-10T08:15:09.755,2023-02-10T08:35:09.755,2023-02-10T08:15:09.755
16,Clerk-000002,Clerk,Check credit history,0.0,0.54,2023-02-10T08:06:10.509,2023-02-10T08:38:40.844,2023-02-10T08:06:10.509
14,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-10T08:06:33.469,2023-02-10T08:42:09.925,2023-02-10T08:06:33.469
11,Senior Officer-000002,Senior Officer,Approve loan offer,0.0,0.0,2023-02-10T08:25:41.243,2023-02-10T08:45:41.243,2023-02-10T08:25:41.243
15,Loan Officer-000001,Loan Officer,Assess loan risk,0.0,0.0,2023-02-10T08:34:51.480,2023-02-10T08:54:51.480,2023-02-10T08:34:51.480
12,Clerk-000003,Clerk,Reject application,0.0,0.17,2023-02-10T08:48:00.216,2023-02-10T08:58:00.216,2023-02-10T08:48:00.216
16,Loan Officer-000002,Loan Officer,Assess loan risk,0.0,0.0,2023-02-10T08:38:40.844,2023-02-10T08:58:40.844,2023-02-10T08:38:40.844
18,Clerk-000007,Clerk,Check application form completeness,0.0,0.14,2023-02-10T09:00:00.000,2023-02-10T09:08:22.594,2023-02-10T09:00:00.000
17,Clerk-000008,Clerk,Check application form completeness,0.0,0.68,2023-02-10T08:30:00.000,2023-02-10T09:10:51.617,2023-02-10T08:30:00.000
17,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-10T09:10:51.617,2023-02-10T09:14:51.560,2023-02-10T09:10:51.617
14,Clerk-000006,Clerk,Check credit history,0.0,1.35,2023-02-10T08:06:33.469,2023-02-10T09:27:17.115,2023-02-10T08:06:33.469
18,Clerk-000001,Clerk,Check credit history,0.0,0.36,2023-02-10T09:08:22.594,2023-02-10T09:29:55.085,2023-02-10T09:08:22.594
14,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-10T08:18:26.538,2023-02-10T09:42:36.200,2023-02-10T08:06:33.469
17,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-10T09:42:36.200,2023-02-10T09:43:47.466,2023-02-10T09:10:51.617
13,Clerk-000002,Clerk,Reject application,0.0,0.17,2023-02-10T09:35:09.755,2023-02-10T09:45:09.755,2023-02-10T09:35:09.755
11,Clerk-000003,Clerk,Cancel application,0.0,0.08,2023-02-10T09:45:41.243,2023-02-10T09:50:41.243,2023-02-10T09:45:41.243
18,AML Investigator-000002,AML Investigator,AML check,0.0,0.0,2023-02-10T09:08:22.594,2023-02-10T09:51:26.148,2023-02-10T09:08:22.594
17,Clerk-000004,Clerk,Check credit history,0.0,0.82,2023-02-10T09:10:51.617,2023-02-10T09:59:50.141,2023-02-10T09:10:51.617
14,Loan Officer-000004,Loan Officer,Assess loan risk,0.0,0.0,2023-02-10T09:42:36.200,2023-02-10T10:02:36.200,2023-02-10T09:42:36.200
15,Clerk-000007,Clerk,Reject application,0.0,0.17,2023-02-10T09:54:51.480,2023-02-10T10:04:51.480,2023-02-10T09:54:51.480
16,Clerk-000008,Clerk,Reject application,0.0,0.17,2023-02-10T09:58:40.844,2023-02-10T10:08:40.844,2023-02-10T09:58:40.844
20,Clerk-000006,Clerk,Check application form completeness,0.0,0.24,2023-02-10T10:00:00.000,2023-02-10T10:14:41.023,2023-02-10T10:00:00.000
17,Loan Officer-000003,Loan Officer,Assess loan risk,0.0,0.0,2023-02-10T09:59:50.141,2023-02-10T10:19:50.141,2023-02-10T09:59:50.141
17,Loan Officer-000001,Loan Officer,Design loan offer,0.0,0.0,2023-02-10T10:19:50.141,2023-02-10T10:19:52.730,2023-02-10T10:19:50.141
20,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-10T10:14:41.023,2023-02-10T10:21:59.879,2023-02-10T10:14:41.023
20,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-10T10:14:41.023,2023-02-10T10:34:05.483,2023-02-10T10:14:41.023
17,Senior Officer-000001,Senior Officer,Approve loan offer,0.0,0.0,2023-02-10T10:19:52.730,2023-02-10T10:39:52.730,2023-02-10T10:19:52.730
19,Clerk-000005,Clerk,Check application form completeness,0.0,1.19,2023-02-10T09:30:00.000,2023-02-10T10:41:38.999,2023-02-10T09:30:00.000
19,AML Investigator-000002,AML Investigator,AML check,0.0,0.0,2023-02-10T10:41:38.999,2023-02-10T10:55:36.236,2023-02-10T10:41:38.999
20,Clerk-000001,Clerk,Check credit history,0.0,0.72,2023-02-10T10:14:41.023,2023-02-10T10:57:42.224,2023-02-10T10:14:41.023
21,Clerk-000002,Clerk,Check application form completeness,0.0,0.62,2023-02-10T10:30:00.000,2023-02-10T11:07:02.431,2023-02-10T10:30:00.000
21,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-10T11:07:02.431,2023-02-10T11:10:27.544,2023-02-10T11:07:02.431
14,Clerk-000007,Clerk,Reject application,0.0,0.17,2023-02-10T11:02:36.200,2023-02-10T11:12:36.200,2023-02-10T11:02:36.200
20,Loan Officer-000002,Loan Officer,Assess loan risk,0.0,0.0,2023-02-10T10:57:42.224,2023-02-10T11:17:42.224,2023-02-10T10:57:42.224
22,Clerk-000004,Clerk,Check application form completeness,0.0,0.3,2023-02-10T11:00:00.000,2023-02-10T11:17:44.091,2023-02-10T11:00:00.000
19,Clerk-000003,Clerk,Check credit history,0.0,0.66,2023-02-10T10:41:38.999,2023-02-10T11:20:57.244,2023-02-10T10:41:38.999
20,Loan Officer-000004,Loan Officer,Design loan offer,0.0,0.0,2023-02-10T11:17:42.224,2023-02-10T11:23:03.275,2023-02-10T11:17:42.224
21,Clerk-000008,Clerk,Check credit history,0.0,0.42,2023-02-10T11:07:02.431,2023-02-10T11:32:10.404,2023-02-10T11:07:02.431
19,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-10T10:41:38.999,2023-02-10T11:39:47.174,2023-02-10T10:41:38.999
22,AML Investigator-000002,AML Investigator,AML check,0.0,0.0,2023-02-10T11:17:44.091,2023-02-10T11:41:40.663,2023-02-10T11:17:44.091
20,Senior Officer-000002,Senior Officer,Approve loan offer,0.0,0.0,2023-02-10T11:23:03.275,2023-02-10T11:43:03.275,2023-02-10T11:23:03.275
23,Clerk-000005,Clerk,Check application form completeness,0.0,0.23,2023-02-10T11:30:00.000,2023-02-10T11:43:55.431,2023-02-10T11:30:00.000
17,Clerk-000001,Clerk,Cancel application,0.0,0.08,2023-02-10T11:39:52.730,2023-02-10T11:44:52.730,2023-02-10T11:39:52.730
18,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2023-02-10T09:08:22.594,2023-02-10T11:54:01.145,2023-02-10T09:08:22.594
22,Clerk-000006,Clerk,Check credit history,0.0,0.64,2023-02-10T11:17:44.091,2023-02-10T11:55:55.361,2023-02-10T11:17:44.091
22,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2023-02-10T11:54:01.145,2023-02-10T11:58:37.708,2023-02-10T11:17:44.091
19,Loan Officer-000003,Loan Officer,Assess loan risk,0.0,0.0,2023-02-10T11:39:47.174,2023-02-10T11:59:47.174,2023-02-10T11:39:47.174
23,Clerk-000002,Clerk,Check credit history,0.0,0.32,2023-02-10T11:43:55.431,2023-02-10T12:03:09.552,2023-02-10T11:43:55.431
18,Loan Officer-000001,Loan Officer,Assess loan risk,0.0,0.0,2023-02-10T11:54:01.145,2023-02-10T12:14:01.145,2023-02-10T11:54:01.145
23,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-10T11:43:55.431,2023-02-10T12:14:29.279,2023-02-10T11:43:55.431
19,Loan Officer-000004,Loan Officer,Design loan offer,0.0,0.0,2023-02-10T11:59:47.174,2023-02-10T12:15:03.484,2023-02-10T11:59:47.174
22,Loan Officer-000002,Loan Officer,Assess loan risk,0.0,0.0,2023-02-10T11:58:37.708,2023-02-10T12:18:37.708,2023-02-10T11:58:37.708
21,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-10T11:39:47.174,2023-02-10T12:20:59.608,2023-02-10T11:07:02.431
25,Clerk-000004,Clerk,Check application form completeness,0.0,0.0,2023-02-10T12:30:00.000,2023-02-10T12:30:11.985,2023-02-10T12:30:00.000
19,Senior Officer-000001,Senior Officer,Approve loan offer,0.0,0.0,2023-02-10T12:15:03.484,2023-02-10T12:35:03.484,2023-02-10T12:15:03.484
24,Clerk-000007,Clerk,Check application form completeness,0.0,0.6,2023-02-10T12:00:00.000,2023-02-10T12:36:04.235,2023-02-10T12:00:00.000
21,Loan Officer-000003,Loan Officer,Assess loan risk,0.0,0.0,2023-02-10T12:20:59.608,2023-02-10T12:40:59.608,2023-02-10T12:20:59.608
24,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-10T12:36:04.235,2023-02-10T12:41:56.731,2023-02-10T12:36:04.235
20,Clerk-000005,Clerk,Approve application,0.0,0.08,2023-02-10T12:43:03.275,2023-02-10T12:48:03.275,2023-02-10T12:43:03.275
25,Clerk-000003,Clerk,Check credit history,0.0,0.48,2023-02-10T12:30:11.985,2023-02-10T12:58:57.558,2023-02-10T12:30:11.985
24,Clerk-000008,Clerk,Check credit history,0.0,0.48,2023-02-10T12:36:04.235,2023-02-10T13:04:34.796,2023-02-10T12:36:04.235
23,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2023-02-10T11:58:37.708,2023-02-10T13:04:44.529,2023-02-10T11:43:55.431
